description,department
My computer won’t start. I think it's a hardware issue.,IT
Unable to access the VPN. Need help ASAP.,IT
I need assistance installing Microsoft Office.,IT
My Outlook keeps crashing. Please check.,IT
I can’t connect to the printer in Block C.,IT
I forgot my password and can’t log in.,IT
Need help resetting my account password.,IT
My internet connection is very slow.,IT
Software updates are not installing.,IT
I lost access to my email account.,IT
Laptop battery is draining quickly.,IT
Blue screen error when booting up.,IT
My account was locked out after multiple login attempts.,IT
Help me configure my new monitor.,IT
Cannot connect to the shared network drive.,IT
System update caused software error.,IT
Can't access the internet.,IT
Monitor not displaying anything.,IT
Microsoft Teams not connecting.,IT
How do I apply for maternity leave?,HR
Requesting my payslip for June.,HR
Need to update my emergency contact info.,HR
When will appraisals be completed?,HR
Help needed with employee onboarding.,HR
How do I change my benefits plan?,HR
Requesting time off for next week.,HR
I want to update my bank details for salary.,HR
What is the company policy on remote work?,HR
How can I access my training records?,HR
Please provide information on health insurance.,HR
Requesting details about pension contributions.,HR
How to report workplace harassment?,HR
Need help with resignation process.,HR
How do I update my job title and department?,HR
Need help with internal job transfer,HR
My job title is listed incorrectly,HR
Lost my staff ID badge,HR
Need to update emergency contact details,HR
My travel expense claims have not been reimbursed.,Finance
Budget report for Q2 is missing some entries.,Finance
I need a breakdown of this month’s payroll.,Finance
How do I request a company credit card?,Finance
Payment to a vendor is still pending.,Finance
Need clarification on invoice #12345.,Finance
Requesting reimbursement for office supplies.,Finance
When will bonuses be paid this year?,Finance
How to submit a budget proposal?,Finance
Details about tax deductions on my salary.,Finance
Help with expense report submission.,Finance
What is the approval process for large purchases?,Finance
Requesting a copy of last year’s financial statement.,Finance
How to update my billing information?,Finance
I have questions about payroll taxes.,Finance
Need to update supplier billing details.,Finance
I did not get paid for weekend shift.,Finance
My bank account was not updated.,Finance
Late payment for project invoice.,Finance
